B,C,D,G,K,M,P,S,W,
,sâzen ,sâzen ,sâzen ,sâzen ,sâzen ,sâzen ,sâzen ,sâzen ,
v_230 ,v_230 ,v_230 ,v_230 ,v_230 ,v_230 ,v_230 ,v_230 ,v_230 ,
,ir ,iren ,ir ,ir ,ir ,ir ,ir ,ir ,
,vleisch ,lîp ,vleisch ,vleisch ,vleisch ,vleisch ,fleisch ,vleisch ,
,die ,die ,die ,die ,die ,die ,die ,die ,
,maden ,maden ,maden ,maden ,maden ,maden ,maden ,maden ,
,âzen ,âzen ,âzen ,âzen ,âzen ,âzen ,âzen ,âzen ,
v_231 ,v_231 ,v_231 ,v_231 ,v_231 ,v_231 ,v_231 ,v_231 ,v_231 ,
,vil ,untz ,untz ,biz ,untz ,biz ,biz ,untz ,
,gar ,,,,,,,,
,ûf ,an ,an ,an ,ûf ,an ,ûf ,an ,
,daz ,daz ,daz ,daz ,daz ,daz ,daz ,daz ,
,gebeine ,gebeine ,gebeine ,gebeine ,gebeine ,gebeine ,gebeine ,gebeine ,
v_232 ,v_232 ,v_232 ,v_232 ,v_232 ,v_232 ,v_232 ,v_232 ,v_232 ,
,sie ,sie ,sie ,sie ,sie ,sie ,sie ,sie ,
,waz ,waz ,waz ,waz ,waz ,waz ,waz ,waz ,
,sô ,sô ,sô ,sô ,sô ,sô ,sô ,sô ,
,gar ,gar ,gar ,gar ,gar ,gar ,gar ,gar ,
,unreine ,unreine ,unreine ,unreine ,unreine ,unreine ,unreine ,unreine ,
v_233 ,v_233 ,v_233 ,v_233 ,v_233 ,v_233 ,v_233 ,v_233 ,v_233 ,
,daz ,daz ,daz ,daz ,daz ,daz ,daz ,daz ,
,von ,von ,von ,von ,von ,von ,von ,von ,
,iren ,irem ,irem ,ir ,ir ,ir ,ir ,ir ,
,boesen ,blüemden ,,broeden ,bloeden ,broeden ,broeden ,broeden ,
,lîp ,lîp ,lîp ,lîp ,lîp ,lîp ,lîp ,lîp ,
,dranc ,dranc ,dranc ,dranc ,waz ,dranc ,dranc ,dranc ,
v_234 ,v_234 ,v_234 ,v_234 ,v_234 ,v_234 ,v_234 ,v_234 ,v_234 ,
,ein ,ein ,ein ,ein ,ein ,ein ,ein ,ein ,
,alsô ,sô ,alsô ,alsô ,sô ,alsô ,sô ,alsô ,
,unvüeger ,engestlicher ,engestlicher ,engestlicher ,engestlicher ,engestlicher ,engestlicher ,engestlicher ,
,stanc ,stanc ,stanc ,stanc ,smac ,stanc ,stanc ,stanc ,
v_235 ,v_235 ,v_235 ,v_235 ,v_235 ,v_235 ,v_235 ,v_235 ,v_235 ,
,den ,den ,den ,den ,den ,den ,,den ,
,nieman ,nieman ,nieman ,nieman ,nieman ,nieman ,,nieman ,
,maget ,konte ,mohte ,mohte ,kunde ,mohte ,,mohte ,
,erlîden ,erlîden ,erlîden ,erlîden ,erlîden ,erlîden ,,erlîden ,
v_236 ,v_236 ,v_236 ,v_236 ,v_236 ,v_236 ,v_236 ,v_236 ,v_236 ,
,ir ,ir ,ir ,ir ,ir ,ir ,,ir ,
,lîhtez ,rîchez ,rîchez ,rîchez ,rîchez ,rîchez ,,rîchez ,
,kleit ,kleit ,kleit ,kleit ,kleit ,kleit ,,kleit ,
,von ,von ,von ,von ,von ,von ,,von ,
,sîden ,sîden ,sîden ,sîden ,sîden ,sîden ,,sîden ,
v_237 ,v_237 ,v_237 ,v_237 ,v_237 ,v_237 ,v_237 ,v_237 ,v_237 ,
,,wart ,wart ,wart ,,wart ,,wart ,
,vil ,vil ,,,,,,,
,ubel ,ubel ,ubel ,ubel ,,ubel ,,ubel ,
,wart ,,da ,da ,,da ,,da ,
,gehandelt ,gehandelt ,gehandelt ,gehandelt ,,gehandelt ,,gehandelt ,
v_238 ,v_238 ,v_238 ,v_238 ,v_238 ,v_238 ,v_238 ,v_238 ,v_238 ,
,ez ,und ,und ,unde ,,und ,,und ,
,wart ,wart ,,,,,,,
,aldô ,vil ,ubele ,schier ,,schier ,,schier ,
,,gar ,da ,,,,,da ,
,verwandelt ,verwandelt ,gewandelt ,verwandelt ,,verwandelt ,,verwandelt ,
v_239 ,v_239 ,v_239 ,v_239 ,v_239 ,v_239 ,v_239 ,v_239 ,v_239 ,
,in ,in ,in ,in ,,in ,,in ,
,ein ,ein ,ein ,ein ,,ein ,,ein ,
,,vil ,boeses ,boeser ,,boeser ,,boeses ,
,swachez ,swarzes ,aschen ,ascher ,,ascher ,,aschen ,
,tüechelîn ,tüechelîn ,tüechelîn ,tüechelîn ,,tüechelîn ,,tüechelîn ,
v_240 ,v_240 ,v_240 ,v_240 ,v_240 ,v_240 ,v_240 ,v_240 ,v_240 ,
,ir ,ir ,ir ,ir ,,ir ,,ir ,
,,,minneclicher ,minneclicher ,,minneclicher ,,minneclicher ,
,lîhter ,lîhter ,lîhter ,lîhter ,,lîhter ,,lîhter ,
,wünnebernde ,wunneclicher ,,,,,,,
,schîn ,schîn ,schîn ,schîn ,,schîn ,,schîn ,
v_241 ,v_241 ,v_241 ,v_241 ,v_241 ,v_241 ,v_241 ,v_241 ,v_241 ,
,wart ,wart ,er ,er ,waz ,er ,,er ,
,bleich ,,stinket ,stinket ,,stinket ,,stinket ,
,und ,vil ,und ,und ,vil ,und ,,und ,
,,jâmerlich ,waz ,ist ,jâmerlich ,ist ,,ist ,
,missevar ,gevar ,missevar ,missevar ,gevar ,missevar ,,missevar ,
v_242 ,v_242 ,v_242 ,v_242 ,v_242 ,v_242 ,v_242 ,v_242 ,v_242 ,
,reht ,bleich ,reht ,reht ,bleich ,reht ,,reht ,
,alsam ,als ,als ,alsam ,als ,alsam ,,alsam ,
,ein ,ein ,ein ,ein ,ein ,ein ,,ein ,
,asche ,asche ,asche ,asche ,asche ,asche ,,asche ,
,gar ,gar ,gar ,gar ,gar ,gar ,,gar ,
v_243 ,v_243 ,v_243 ,v_243 ,v_243 ,v_243 ,v_243 ,v_243 ,v_243 ,
,,waz ,,,,,,,
,,sie ,,,,,,,
,,und ,,,,,,,
,,gar ,,,,,,,
,,ungetan ,,,,,,,
v_244 ,v_244 ,v_244 ,v_244 ,v_244 ,v_244 ,v_244 ,v_244 ,v_244 ,
,,daz ,,,,,,,
,,sei ,,,,,,,
,,iuch ,,,,,,,
,,allen ,,,,,,,
,,kunt ,,,,,,,
,,getan ,,,,,,,
v_245 ,v_245 ,v_245 ,v_245 ,v_245 ,v_245 ,v_245 ,v_245 ,v_245 ,
,hier ,hie ,da ,da ,hie ,da ,,dô ,
,mit ,mit ,mit ,mit ,mit ,mit ,,mit ,
,schiet ,schiet ,schiet ,schiet ,schiet ,schiet ,,schiet ,
,sie ,sie ,sie ,sie ,sie ,sie ,,sie ,
,von ,von ,von ,von ,,von ,,von ,
,dannen ,dannen ,dannen ,dannen ,dannen ,dannen ,,dannen ,
v_246 ,v_246 ,v_246 ,v_246 ,v_246 ,v_246 ,v_246 ,v_246 ,v_246 ,
,da ,daz ,daz ,daz ,daz ,daz ,,daz ,
,,,,,,,,sei ,
,sie ,sie ,sie ,sie ,sie ,sie ,,sie ,
,von ,von ,von ,vor ,vor ,vor ,,vor ,
,mir ,mir ,mir ,mir ,mir ,,,mir ,
,verbannen ,verbannen ,verbannen ,verbannen ,verbannen ,verbannen ,,verbannen ,
v_247 ,v_247 ,v_247 ,v_247 ,v_247 ,v_247 ,v_247 ,v_247 ,v_247 ,
,und ,und ,und ,und ,und ,und ,,,
,,,von ,vor ,all ,vor ,,vor ,
,aller ,aller ,aller ,aller ,der ,aller ,,aller ,
,kristenheit ,kristenheit ,kristenheit ,kristenheit ,kristenheit ,kristenheit ,,kristenheit ,
,sei ,sei ,sie ,sei ,sei ,sei ,,sei ,
v_248 ,v_248 ,v_248 ,v_248 ,v_248 ,v_248 ,v_248 ,v_248 ,v_248 ,
,der ,der ,der ,der ,der ,der ,,der ,
,ritter ,ritter ,ritter ,ritter ,ritter ,ritter ,,ritter ,
,edel ,edel ,edel ,edel ,edel ,edel ,,edel ,
,und ,und ,unde ,unde ,und ,und ,,und ,
,vrî ,vrî ,vrî ,vrî ,vrî ,vrî ,,vrî ,
v_249 ,v_249 ,v_249 ,v_249 ,v_249 ,v_249 ,v_249 ,v_249 ,v_249 ,
,als ,dô ,dô ,dô ,dô ,dô ,,dô ,
,er ,er ,der ,der ,der ,der ,,der ,
,daz ,dise ,dise ,dise ,dise ,dise ,,dise ,
,wunder ,wunder ,wunder ,wunder ,wunder ,wunder ,,wunder ,
,ansach ,ansach ,ansach ,ansach ,ansach ,ansach ,,ansach ,
v_250 ,v_250 ,v_250 ,v_250 ,v_250 ,v_250 ,v_250 ,v_250 ,v_250 ,
,zehant ,zehant ,nun ,nun ,zehant ,nun ,,nun ,
,sîn ,sîn ,muget ,muget ,sîn ,muget ,,muoget ,
,herze ,herze ,ir ,ir ,herze ,ir ,,ir ,
,im ,im ,hoeren ,hoeren ,im ,hoeren ,,hoeren ,
,daz ,daz ,wie ,wie ,des ,wie ,,wie ,
,,,er ,er ,,er ,,er ,
,verjach ,verjach ,sprach ,sprach ,verjach ,sprach ,,sprach ,
v_251 ,v_251 ,v_251 ,v_251 ,v_251 ,v_251 ,v_251 ,v_251 ,v_251 ,
,,,ja ,,,,,,
,,,muos ,,,,,,
,er ,er ,er ,er ,er ,er ,,er ,
,wurde ,wurde ,,muost ,waere ,muost ,,muost ,
,gar ,gar ,sîn ,sîn ,gar ,sîn ,,sîn ,
,verwâzen ,verwâzen ,verwâzen ,verwâzen ,verwâzen ,verwâzen ,,verwâzen ,
v_252 ,v_252 ,v_252 ,v_252 ,v_252 ,v_252 ,v_252 ,v_252 ,v_252 ,
,und ,,,,,,,,
,wer ,wer ,wer ,der ,swer ,der ,,der ,
,sich ,sich ,sich ,sich ,sich ,sich ,,sie ,
,vinden ,,nun ,nun ,,nun ,,nun ,
,wolt ,wolte ,wolte ,wolte ,wolte ,wolte ,,wolte ,
,lâzen ,lâzen ,lâzen ,lâzen ,lâzen ,lâzen ,,lâzen ,
v_253 ,v_253 ,v_253 ,v_253 ,v_253 ,v_253 ,v_253 ,v_253 ,v_253 ,
,an ,in ,an ,an ,an ,an ,,an ,
,iren ,ir ,dînem ,dînem ,ir ,dînem ,,einem ,
,dienst ,dienste ,dienste ,dienst ,dienste ,dienst ,,dienst ,
,vinden ,vinden ,vinden ,vinden ,vinden ,vinden ,,vinden ,
v_254 ,v_254 ,v_254 ,v_254 ,v_254 ,v_254 ,v_254 ,v_254 ,v_254 ,
,von ,von ,von ,von ,von ,von ,,von ,
,wîben ,wîp ,wîben ,wîben ,wîben ,wîben ,,wîben ,
,und ,und ,und ,und ,und ,und ,,und ,
,von ,von ,von ,von ,von ,von ,,von ,
,kinden ,kinden ,kinden ,kinden ,kinden ,kinden ,,kinden ,
v_255 ,v_255 ,v_255 ,v_255 ,v_255 ,v_255 ,v_255 ,v_255 ,v_255 ,
,schiet ,schiet ,schiet ,schiet ,schiet ,schiet ,,schiet ,
,er ,er ,er ,er ,er ,er ,,er ,
,dô ,sich ,sich ,da ,sich ,da ,,da ,
,,alda ,sô ,,alda ,,,,
,zehant ,zehant ,zehant ,zehant ,zehant ,zehant ,,zehant ,
v_256 ,v_256 ,v_256 ,v_256 ,v_256 ,v_256 ,v_256 ,v_256 ,v_256 ,
,und ,und ,er ,er ,er ,er ,,er ,
,nam ,nam ,nam ,nam ,nam ,nam ,,nam ,
,daz ,daz ,daz ,daz ,daz ,daz ,,daz ,
,kriuz ,kriuz ,kriuz ,kriuz ,kriuz ,kriuz ,,kriuz ,
,an ,an ,an ,an ,an ,an ,,in ,
,sîn ,sîn ,sîn ,sîn ,sîn ,sîn ,,die ,
,gewant ,gewant ,gewant ,gewant ,gewant ,gewant ,,hant ,
v_257 ,v_257 ,v_257 ,v_257 ,v_257 ,v_257 ,v_257 ,v_257 ,v_257 ,
,und ,und ,und ,er ,und ,er ,,er ,
,vuorte ,hüb ,vuorte ,vuorte ,hüb ,vuorte ,,vuorte ,
,,sich ,hin ,hin ,sich ,hin ,,hin ,
,über ,uber ,über ,über ,über ,über ,,über ,
,daz ,daz ,daz ,daz ,daz ,daz ,,daz ,
,wilde ,wilde ,wilde ,wilde ,wilde ,wilde ,,wilde ,
,mer ,mer ,mer ,mer ,mer ,mer ,,mer ,
v_258 ,v_258 ,v_258 ,v_258 ,v_258 ,v_258 ,v_258 ,v_258 ,v_258 ,
,und ,und ,und ,und ,und ,und ,,und ,
,half ,half ,half ,half ,half ,half ,,half ,
,dem ,dem ,dem ,dem ,dem ,dem ,,dem ,
,edel ,edelen ,edelen ,edelen ,edelen ,edelen ,,edelen ,
,gotez ,gotez ,gotez ,gotez ,gotez ,gotez ,,gotez ,
,her ,her ,her ,her ,her ,her ,,her ,
v_259 ,v_259 ,v_259 ,v_259 ,v_259 ,v_259 ,v_259 ,v_259 ,v_259 ,
strîten ,strîten ,strîten ,strîten ,strîten ,strîten ,strîten ,,strîten ,
an ,an ,an ,an ,an ,an ,an ,,an ,
die ,die ,die ,die ,die ,die ,die ,,die ,
heidenschaft ,heidenschaft ,heidenschaft ,heidenschaft ,heidenschaft ,heidenschaft ,heidenschaft ,,heidenschaft ,
v_260 ,v_260 ,v_260 ,v_260 ,v_260 ,v_260 ,v_260 ,v_260 ,v_260 ,
da ,dô ,dô ,dô ,dô ,da ,da ,,dô ,
wart ,wart ,wart ,wart ,wart ,wart ,wart ,,wart ,
der ,der ,der ,der ,der ,der ,der ,,der ,
ritter ,herre ,ritter ,herre ,,ritter ,,,,
tugenthaft ,tugenthaft ,tugenthaft ,tugenthaft ,tugenthaft ,tugenthaft ,tugenthaft ,,tugenthaft ,
v_261 ,v_261 ,v_261 ,v_261 ,v_261 ,v_261 ,v_261 ,v_261 ,v_261 ,
an ,von ,an ,an ,an ,an ,an ,,an ,
staeter ,staeter ,staeter ,staeten ,staeten ,staeter ,staeten ,,staeter ,
buoze ,buoze ,buoze ,buozen ,buozen ,buoze ,buozen ,,buoze ,
vunden ,vunden ,vunden ,vunden ,vunden ,vunden ,vunden ,,vunden ,
v_262 ,v_262 ,v_262 ,v_262 ,v_262 ,v_262 ,v_262 ,v_262 ,v_262 ,
er ,und ,und ,er ,er ,er ,er ,,er ,
schuof ,schuof ,schuof ,warp ,warp ,schuof ,warp ,,wart ,
daz ,,,,dort ,daz ,dort ,,dort ,
zuo ,zuo ,zuo ,zuo ,zuo ,zuo ,zuo ,,zuo ,
allen ,allen ,allen ,allen ,allen ,allen ,allen ,,zaller ,
,stunden ,stunden ,stunden ,stunden ,stunden ,stunden ,,stunden ,
v_263 ,v_263 ,v_263 ,v_263 ,v_263 ,v_263 ,v_263 ,v_263 ,v_263 ,
dô ,da ,dô ,da ,dô ,dô ,da ,,dô ,
im ,im ,im ,im ,im ,im ,im ,,im ,
der ,der ,der ,der ,der ,der ,der ,,der ,
lîp ,lîp ,lîp ,lîp ,lîp ,lîp ,lîp ,,lîp ,
erstorben ,erstorben ,erstorben ,erstorben ,erstorben ,erstorben ,erstorben ,,erstorben ,
waz ,waz ,waz ,waz ,waz ,waz ,waz ,,waz ,
v_264 ,v_264 ,v_264 ,v_264 ,v_264 ,v_264 ,v_264 ,v_264 ,v_264 ,
saz ,daz ,daz ,daz ,daz ,daz ,daz ,,daz ,
im ,im ,im ,im ,im ,im ,im ,,im ,
,,,doch ,,,,,,
diu ,diu ,diu ,diu ,diu ,diu ,diu ,,diu ,
sele ,sele ,sele ,sele ,sele ,sele ,sele ,,sele ,
dort ,dort ,dort ,,doch ,dort ,doch ,,doch ,
genaz ,genaz ,genaz ,genaz ,genaz ,genaz ,genaz ,,genaz ,
v_265 ,v_265 ,v_265 ,v_265 ,v_265 ,v_265 ,v_265 ,v_265 ,v_265 ,
nun ,nun ,nun ,nun ,nun ,nun ,nun ,,nun ,
merkent ,merkent ,merkent ,merkent ,merket ,mercket ,merket ,,merket ,
alle ,alle ,alle ,alle ,alle ,alle ,alle ,,alle ,
die ,die ,die ,die ,die ,die ,die ,,die ,
nun ,nun ,nun ,nun ,nun ,nun ,nun ,,nun ,
sint ,sint ,sint ,sint ,sint ,sint ,sint ,,sint ,
v_266 ,v_266 ,v_266 ,v_266 ,v_266 ,v_266 ,v_266 ,v_266 ,v_266 ,
dieser ,diser ,diser ,diser ,diser ,diser ,diser ,,diser ,
wilden ,wilden ,wilden ,wilde ,wilden ,wilden ,wilden ,,wilden ,
werlt ,werlt ,werlt ,werlt ,werlt ,werlt ,werlt ,,werlt ,
kint ,kint ,kint ,kint ,kint ,kint ,kint ,,kint ,
v_267 ,v_267 ,v_267 ,v_267 ,v_267 ,v_267 ,v_267 ,v_267 ,v_267 ,
dise ,dise ,dise ,dise ,dise ,dise ,dise ,,dise ,
endehafte ,endehafte ,endehaft ,endehafte ,endehaft ,endehafte ,endehafte ,,endehaft ,
maere ,maere ,maere ,maere ,maere ,maere ,maere ,,maere ,
v_268 ,v_268 ,v_268 ,v_268 ,v_268 ,v_268 ,v_268 ,v_268 ,v_268 ,
daz ,ez ,daz ,,ez ,daz ,ez ,,ez ,
ist ,ist ,ist ,ist ,ist ,ist ,ist ,,ist ,
alsô ,sô ,sô ,alsô ,alsô ,alsô ,alsô ,,alsô ,
gewaere ,gewaere ,gewaere ,gewaere ,gewaere ,gewaere ,gewaere ,,gewaere ,
v_269 ,v_269 ,v_269 ,v_269 ,v_269 ,v_269 ,v_269 ,v_269 ,v_269 ,
daz ,daz ,daz ,daz ,daz ,daz ,daz ,,daz ,
man ,man ,man ,man ,man ,man ,man ,,man ,
ez ,ez ,ez ,ez ,ez ,ez ,ez ,,ez ,
gerne ,gern ,gern ,gerne ,gerne ,gern ,gerne ,,gern ,
hoeren ,hoeren ,hoeren ,hoeren ,hoeren ,hoeren ,hoeren ,,hoeren ,
sol ,sol ,sol ,sol ,sol ,sol ,sol ,,sol ,
v_270 ,v_270 ,v_270 ,v_270 ,v_270 ,v_270 ,v_270 ,v_270 ,v_270 ,
der ,der ,der ,der ,der ,der ,der ,,der ,
waelte ,werlt ,werlt ,werlt ,werlt ,werlt ,werlt ,,werlt ,
lôn ,lôn ,lôn ,lop ,lôn ,lôn ,lôn ,,lôn ,
ist ,ist ,ist ,ist ,ist ,ist ,ist ,,ist ,
jamers ,jamers ,jamers ,jamers ,jamers ,jamers ,jamers ,,jamers ,
vol ,vol ,vol ,vol ,vol ,vol ,vol ,,vol ,
v_271 ,v_271 ,v_271 ,v_271 ,v_271 ,v_271 ,v_271 ,v_271 ,v_271 ,
da ,daz ,daz ,wir ,wir ,dc ,wir ,,wie ,
muogent ,hab ,hant ,haben ,hân ,muoget ,hân ,,hân ,
ir ,wir ,ir ,ez ,ez ,ir ,ez ,,ez ,
alle ,alle ,alle ,alle ,,alle ,,,,
hân ,wol ,wol ,wol ,wol ,hân ,wol ,,wol ,
vernomen ,vernomen ,vernomen ,vernomen ,vernomen ,vernomen ,vernomen ,,vernomen ,
v_272 ,v_272 ,v_272 ,v_272 ,v_272 ,v_272 ,v_272 ,v_272 ,v_272 ,
ich ,ich ,dez ,ouch ,ich ,ich ,ich ,,ich ,
bin ,bin ,bin ,bin ,bin ,bin ,bin ,,bin ,
ez ,sîn ,ich ,ich ,sîn ,sîn ,sîn ,,sîn ,
,,,selb ,,,,,,
an ,an ,ûf ,an ,an ,an ,an ,,an ,
ein ,ein ,ein ,ein ,ein ,ein ,ein ,,ein ,
ende ,ende ,ende ,ende ,ende ,ende ,ende ,,ende ,
komen ,komen ,komen ,komen ,komen ,komen ,komen ,,komen ,
v_273 ,v_273 ,v_273 ,v_273 ,v_273 ,v_273 ,v_273 ,v_273 ,v_273 ,
swer ,wer ,der ,wer ,swer ,swer ,swer ,,swer ,
an ,an ,in ,an ,an ,an ,an ,,an ,
ir ,iren ,ir ,irem ,ir ,ir ,ir ,,ir ,
dienst ,dienst ,dienst ,dienst ,dienst ,dienst ,dienst ,,dienst ,
vunden ,vunden ,vunden ,ervunden ,vunden ,vunden ,vunden ,,vunden ,
wirt ,wirt ,wirt ,wirt ,wirt ,wirt ,wirt ,,wirt ,
v_274 ,v_274 ,v_274 ,v_274 ,v_274 ,v_274 ,v_274 ,v_274 ,v_274 ,
daz ,daz ,daz ,daz ,daz ,daz ,daz ,,daz ,
in ,den ,in ,im ,in ,in ,in ,,im ,
diu ,diu ,diu ,diu ,die ,diu ,diu ,,diu ,
vröude ,vröude ,vröude ,vröude ,vröude ,vröude ,vröude ,,vröude ,
gar ,gar ,gar ,,gar ,gar ,gar ,,gar ,
verbirt ,verbirt ,verbirt ,verbirt ,verbirt ,verbirt ,verbirt ,,verbirt ,
v_275 ,v_275 ,v_275 ,v_275 ,v_275 ,v_275 ,v_275 ,v_275 ,v_275 ,
den ,die ,die ,die ,die ,die ,die ,,die ,
got ,got ,got ,got ,got ,got ,got ,,got ,
mit ,mit ,mit ,mit ,mit ,mit ,mit ,,mit ,
ganzer ,ganzer ,wender ,sîner ,sîner ,ganzer ,sîner ,,sîner ,
staetekeit ,staetekeit ,staetekeit ,staetekeit ,staetekeit ,staetekeit ,staetekeit ,,staetekeit ,
v_276 ,v_276 ,v_276 ,v_276 ,v_276 ,v_276 ,v_276 ,v_276 ,v_276 ,
den ,sîn ,den ,den ,den ,den ,den ,,den ,
ûzerwelten ,ûzerwelten ,ûzerwelten ,ûzerwelten ,ûzerwelten ,ûzerwelten ,ûzerwelten ,,ûzerwelten ,
hat ,hat ,hat ,hat ,hat ,hat ,hat ,,hat ,
bereit ,bereit ,bereit ,bereit ,bereit ,bereit ,bereit ,,bereit ,
v_277 ,v_277 ,v_277 ,v_277 ,v_277 ,v_277 ,v_277 ,v_277 ,v_277 ,
von ,,darumbe ,,,von ,,,,
Würtzburg ,,gib ,,,Würtzburg ,,,,
ich ,,ich ,,,ich ,,,,
Konrad ,,Konrad ,,,Konrad ,,,,
v_278 ,v_278 ,v_278 ,v_278 ,v_278 ,v_278 ,v_278 ,v_278 ,v_278 ,
gip ,,von ,,,gip ,,,,
,,Würztburg ,,,,,,,
iuch ,,iuch ,,,iuch ,,,,
allen ,,,,,allen ,,,,
disen ,,disen ,,,disen ,,,,
rat ,,rat ,,,rat ,,,,
v_279 ,v_279 ,v_279 ,v_279 ,v_279 ,v_279 ,v_279 ,v_279 ,v_279 ,
daz ,,,,,daz ,,,,
ir ,,,,,ir ,,,,
diu ,,diu ,,,diu ,,,,
werlt ,,dise ,,,werlt ,,,,
lazent ,,gerihten ,,,lazet ,,,,
,,hoerent ,,,,,,,
varn ,,lesen ,,,varn ,,,,
v_280 ,v_280 ,v_280 ,v_280 ,v_280 ,v_280 ,v_280 ,v_280 ,v_280 ,
wellent ,,daz ,,,wellet ,,,,
ir ,,sie ,,,ir ,,,,
diu ,,der ,,,diu ,,,,
sele ,,werlt ,,,sele ,,,,
,,vigent ,,,,,,,
bewarn ,,wesen ,,,bewarn ,,,,
v_281 ,v_281 ,v_281 ,v_281 ,v_281 ,v_281 ,v_281 ,v_281 ,v_281 ,
,,und ,,,,,,,
,,got ,,,,,,,
,,den ,,,,,,,
,,werden ,,,,,,,
,,minne ,,,,,,,
v_282 ,v_282 ,v_282 ,v_282 ,v_282 ,v_282 ,v_282 ,v_282 ,v_282 ,
,,mit ,,,,,,,
,,herzen ,,,,,,,
,,und ,,,,,,,
,,mit ,,,,,,,
,,sinne ,,,,,,,
v_283 ,v_283 ,v_283 ,v_283 ,v_283 ,v_283 ,v_283 ,v_283 ,v_283 ,
,,sô ,,,,,,,
,,mac ,,,,,,,
,,diu ,,,,,,,
,,sele ,,,,,,,
,,dort ,,,,,,,
,,genesen ,,,,,,,
v_284 ,v_284 ,v_284 ,v_284 ,v_284 ,v_284 ,v_284 ,v_284 ,v_284 ,
,,und ,,,,,,,
,,dester ,,,,,,,
,,baz ,,,,,,,
,,ane ,,,,,,,
,,sünde ,,,,,,,
,,wesen ,,,,,,,
v_285 ,v_285 ,v_285 ,v_285 ,v_285 ,v_285 ,v_285 ,v_285 ,v_285 ,
,,wann ,,,,,,,
,,an ,,,,,,,
,,der ,,,,,,,
,,werlt ,,,,,,,
,,lit ,,,,,,,
,,anders ,,,,,,,
,,niht ,,,,,,,
v_286 ,v_286 ,v_286 ,v_286 ,v_286 ,v_286 ,v_286 ,v_286 ,v_286 ,
v_287 ,v_287 ,dann ,v_287 ,v_287 ,v_287 ,v_287 ,v_287 ,v_287 ,
,,ein ,,,,,,,
,,boese ,,,,,,,
,,zuversiht ,,,,,,,
v_288 ,v_288 ,v_288 ,v_288 ,v_288 ,v_288 ,v_288 ,v_288 ,v_288 ,
,,zuo ,,,,,,,
,,jungest ,,,,,,,
,,daz ,,,,,,,
,,sei ,,,,,,,
,,iuch ,,,,,,,
,,geseit ,,,,,,,
v_289 ,v_289 ,v_289 ,v_289 ,v_289 ,v_289 ,v_289 ,v_289 ,v_289 ,
,,und ,,,,,,,
,,sô ,,,,,,,
,,gar ,,,,,,,
,,vergezen ,,,,,,,
v_290 ,v_290 ,v_290 ,v_290 ,v_290 ,v_290 ,v_290 ,v_290 ,v_290 ,
,,wer ,,,,,,,
,,mit ,,,,,,,
,,ir ,,,,,,,
,,ist ,,,,,,,
,,besezen ,,,,,,,
v_291 ,v_291 ,v_291 ,v_291 ,v_291 ,v_291 ,v_291 ,v_291 ,v_291 ,
,,der ,,,,,,,
,,gevachet ,,,,,,,
,,swachen ,,,,,,,
,,lôn ,,,,,,,
v_292 ,v_292 ,v_292 ,v_292 ,v_292 ,v_292 ,v_292 ,v_292 ,v_292 ,
,,dez ,,,,,,,
,,muoz ,,,,,,,
,,er ,,,,,,,
,,doch ,,,,,,,
,,zuo ,,,,,,,
,,himel ,,,,,,,
,,schon ,,,,,,,
v_293 ,v_293 ,v_293 ,v_293 ,v_293 ,v_293 ,v_293 ,v_293 ,v_293 ,
,,sîn ,,,,,,,
,,ewikeit ,,,,,,,
,,besitzen ,,,,,,,
v_294 ,v_294 ,v_294 ,v_294 ,v_294 ,v_294 ,v_294 ,v_294 ,v_294 ,
,,dez ,,,,,,,
,,schouwent ,,,,,,,
,,gar ,,,,,,,
,,mit ,,,,,,,
,,witzen ,,,,,,,
v_295 ,v_295 ,v_295 ,v_295 ,v_295 ,v_295 ,v_295 ,v_295 ,v_295 ,
,,daz ,,,,,,,
,,ir ,,,,,,,
,,vuogent ,,,,,,,
,,iuwer ,,,,,,,
,,arbeit ,,,,,,,
v_296 ,v_296 ,v_296 ,v_296 ,v_296 ,v_296 ,v_296 ,v_296 ,v_296 ,
,,zuo ,,,,,,,
,,rechter ,,,,,,,
,,staeter ,,,,,,,
,,ewikeit ,,,,,,,
v_297 ,v_297 ,v_297 ,v_297 ,v_297 ,v_297 ,v_297 ,v_297 ,v_297 ,
,,und ,,,,,,,
,,lant ,,,,,,,
,,die ,,,,,,,
,,werlt ,,,,,,,
,,verderben ,,,,,,,
v_298 ,v_298 ,v_298 ,v_298 ,v_298 ,v_298 ,v_298 ,v_298 ,v_298 ,
,,sô ,,,,,,,
,,muogent ,,,,,,,
,,ir ,,,,,,,
,,gotez ,,,,,,,
,,hulde ,,,,,,,
,,erwerben ,,,,,,,
,,v_287 ,,,,,,,
,,und ,,,,,,,
,,wirt ,,,,,,,
,,verloren ,,,,,,,
,,die ,,,,,,,
,,arbait ,,,,,,,
